"GEO_ID","NAICS2017","YEAR","NAICS2017_F","GEO_ID_F","NAICS2017_LABEL","NAME","EMP","EMP_IMP","ESTAB","FIRM","PAYANN","PAYANN_IMP","PAYQTR1","RCPTOT","RCPTOT_IMP"
"id","2017 NAICS code","Year","2017 NAICS Footnote","Geo Footnote","Meaning of NAICS code","Geographic Area Name","Number of paid employees for pay period including March 12","Range indicating percent of total employees imputed","Number of establishments","Number of firms","Annual payroll ($1,000)","Range indicating percent of total annual payroll imputed","First-quarter payroll ($1,000)","Value of sales, shipments, receipts, revenue, or business done ($1,000)","Range indicating percent of total sales, value of shipments, or revenue imputed"
"0100000US","44612","2017","null","null","Cosmetics, beauty supplies, and perfume stores","United States","165681","N","17042","7790","3023718","N","757651","22529574","N"
"0100000US","446120","2017","null","null","Cosmetics, beauty supplies, and perfume stores","United States","165681","N","17042","7790","3023718","N","757651","22529574","N"
"0100000US","44613","2017","null","null","Optical goods stores","United States","79989","N","12230","4350","2235890","N","535149","10410380","N"
"0100000US","446130","2017","null","null","Optical goods stores","United States","79989","N","12230","4350","2235890","N","535149","10410380","N"
"0100000US","44619","2017","null","null","Other health and personal care stores","United States","106767","N","20336","11552","3623789","N","896693","18763733","N"
"0100000US","446191","2017","null","null","Food (health) supplement stores","United States","44042","N","10122","4973","987207","N","239665","6581226","N"
"0100000US","446199","2017","null","null","All other health and personal care stores","United States","62725","N","10214","6580","2636582","N","657028","12182507","N"
"0100000US","447","2017","null","null","Gasoline stations","United States","940422","N","115143","66046","19258405","N","4552131","475747463","N"
"0100000US","4471","2017","null","null","Gasoline stations","United States","940422","N","115143","66046","19258405","N","4552131","475747463","N"
"0100000US","44711","2017","null","null","Gasoline stations with convenience stores","United States","791662","N","98507","56774","15706515","N","3707337","375456719","N"
"0100000US","447110","2017","null","null","Gasoline stations with convenience stores","United States","791662","N","98507","56774","15706515","N","3707337","375456719","N"
"0100000US","44719","2017","null","null","Other gasoline stations","United States","148760","N","16636","10074","3551890","N","844794","100290744","N"
"0100000US","447190","2017","null","null","Other gasoline stations","United States","148760","N","16636","10074","3551890","N","844794","100290744","N"
"0100000US","448","2017","null","null","Clothing and clothing accessories stores","United States","1796234","N","143261","56629","32185817","N","7735336","256807067","N"
"0100000US","4481","2017","null","null","Clothing stores","United States","1423704","N","96133","36227","23821901","N","5615551","187810742","N"
"0100000US","44811","2017","null","null","Men's clothing stores","United States","54514","N","6957","3706","1489966","N","359675","9211736","N"
"0100000US","448110","2017","null","null","Men's clothing stores","United States","54514","N","6957","3706","1489966","N","359675","9211736","N"
"0100000US","44812","2017","null","null","Women's clothing stores","United States","346830","N","33170","13378","5475675","N","1345772","39098153","N"
"0100000US","448120","2017","null","null","Women's clothing stores","United States","346830","N","33170","13378","5475675","N","1345772","39098153","N"
"0100000US","44813","2017","null","null","Children's and infants' clothing stores","United States","77707","N","6925","1958","1069471","N","256855","7666425","N"
"0100000US","448130","2017","null","null","Children's and infants' clothing stores","United States","77707","N","6925","1958","1069471","N","256855","7666425","N"
"0100000US","44814","2017","null","null","Family clothing stores","United States","743832","N","28715","6866","12011834","N","2708338","104300672","N"
"0100000US","448140","2017","null","null","Family clothing stores","United States","743832","N","28715","6866","12011834","N","2708338","104300672","N"
"0100000US","44815","2017","null","null","Clothing accessories stores","United States","69781","N","8546","3619","1348348","N","338019","10938920","N"
"0100000US","448150","2017","null","null","Clothing accessories stores","United States","69781","N","8546","3619","1348348","N","338019","10938920","N"
"0100000US","44819","2017","null","null","Other clothing stores","United States","131040","N","11820","7070","2426607","N","606892","16594836","N"
"0100000US","448190","2017","null","null","Other clothing stores","United States","131040","N","11820","7070","2426607","N","606892","16594836","N"
"0100000US","4482","2017","null","null","Shoe stores","United States","248863","N","24891","5112","4060071","N","993888","36771600","N"
"0100000US","44821","2017","null","null","Shoe stores","United States","248863","N","24891","5112","4060071","N","993888","36771600","N"
"0100000US","448210","2017","null","null","Shoe stores","United States","248863","N","24891","5112","4060071","N","993888","36771600","N"
"0100000US","4483","2017","null","null","Jewelry, luggage, and leather goods stores","United States","123667","N","22237","15405","4303845","N","1125897","32224725","N"
"0100000US","44831","2017","null","null","Jewelry stores","United States","117673","N","21244","14991","4060450","N","1066022","29316063","N"
"0100000US","448310","2017","null","null","Jewelry stores","United States","117673","N","21244","14991","4060450","N","1066022","29316063","N"
"0100000US","44832","2017","null","null","Luggage and leather goods stores","United States","5994","N","993","416","243395","N","59875","2908662","N"
"0100000US","448320","2017","null","null","Luggage and leather goods stores","United States","5994","N","993","416","243395","N","59875","2908662","N"
"0100000US","451","2017","null","null","Sporting goods, hobby, musical instrument, and book stores","United States","537252","N","45001","30107","10071092","N","2385495","80448755","N"
"0100000US","4511","2017","null","null","Sporting goods, hobby, and musical instrument stores","United States","449126","N","37494","26636","8712655","N","2031584","70078864","N"
"0100000US","45111","2017","null","null","Sporting goods stores","United States","234601","N","21355","16167","5263727","N","1213233","44406657","N"
"0100000US","451110","2017","null","null","Sporting goods stores","United States","234601","N","21355","16167","5263727","N","1213233","44406657","N"
"0100000US","45112","2017","null","null","Hobby, toy, and game stores","United States","148053","N","8513","4661","2208243","N","522392","17505428","N"
"0100000US","451120","2017","null","null","Hobby, toy, and game stores","United States","148053","N","8513","4661","2208243","N","522392","17505428","N"
"0100000US","45113","2017","null","null","Sewing, needlework, and piece goods stores","United States","37711","N","4072","3119","507918","N","119267","3635445","N"
"0100000US","451130","2017","null","null","Sewing, needlework, and piece goods stores","United States","37711","N","4072","3119","507918","N","119267","3635445","N"
"0100000US","45114","2017","null","null","Musical instrument and supplies stores","United States","28761","N","3554","2692","732767","N","176692","4531334","N"
"0100000US","451140","2017","null","null","Musical instrument and supplies stores","United States","28761","N","3554","2692","732767","N","176692","4531334","N"
"0100000US","4512","2017","null","null","Book stores and news dealers","United States","88126","N","7507","3480","1358437","N","353911","10369891","N"
"0100000US","45121","2017","null","null","Book stores and news dealers","United States","88126","N","7507","3480","1358437","N","353911","10369891","N"
"0100000US","451211","2017","null","null","Book stores","United States","84301","N","6521","2613","1286523","N","336106","9949555","N"
"0100000US","451212","2017","null","null","News dealers and newsstands","United States","3825","N","986","873","71914","N","17805","420336","N"
"0100000US","452","2017","null","null","General merchandise stores","United States","2803586","N","53794","7863","67575254","N","17067756","690572469","N"
"0100000US","4522","2017","null","null","Department stores","United States","490627","N","4353","14","9848312","N","2470348","66735441","N"
"0100000US","45221","2017","null","null","Department stores","United States","490627","N","4353","14","9848312","N","2470348","66735441","N"
"0100000US","452210","2017","null","null","Department stores","United States","490627","N","4353","14","9848312","N","2470348","66735441","N"
"0100000US","4523","2017","null","null","General merchandise stores, including warehouse clubs and supercenters","United States","2312959","N","49441","7853","57726942","N","14597408","623837028","N"
